,lb,ub
tre_c,-16.118095650918647,-6.907755278982137
tre_e,-16.11809565102144,-6.907755278982137
glc-D_e,-3.7086110360386098,-3.583807612445261
trp-L_c,-16.118095805986393,-9.606540999144146
indole_c,-16.118095650958324,-6.907755278982137
u3hga_c,-16.11809569616308,-6.907755278982137
uamag_c,-16.118095700162,-6.907755278982137
ugmd_c,-16.118095650958324,-6.907755278982137
u3aga_c,-16.118095650895256,-6.907755278982137
uaccg_c,-16.118095651810556,-6.907755278982137
uama_c,-16.118095748835742,-6.907755278982137
uamr_c,-16.118095651029037,-6.907755278982137
val-L_c,-16.118095651173157,-4.017911310777665
xyl-D_c,-16.11809565128091,-6.907755278982137
4abut_e,-16.11809577453407,-6.907755278982137
ac_e,-16.118095650958324,-8.482418857129675
ala-L_e,-16.11809565090961,-6.907755278982137
arab-L_e,-16.118095651263268,-6.907755278982137
arg-L_e,-16.118095650958324,-6.907755278982137
asn-L_e,-16.118095650964953,-6.907755278982137
asp-L_e,-16.11809574029924,-6.907755278982137
charge_e,0.0,-0.0
chol_e,-16.118095650958324,-6.907755278982137
co2tot_e,-9.721165995742174,-9.210340372352029
dms_e,-16.11809565088309,-6.907755278982137
dmso_e,-16.118095650912295,-6.907755278982137
for_e,-16.118095650918725,-6.9077552790481995
fru_e,-3.619353391465326,-3.582719258285545
fum_e,-16.118095650958324,-8.804875263868018
gal_e,-16.118095650875162,-6.907755279175285
glcn_e,-3.7090821614314553,-3.669076826817756
glu-L_e,-16.11809565104693,-6.907755278982137
glyb_e,-16.118095650958324,-6.907755278982137
glyc3p_e,-16.118095650958324,-6.907755278982137
h_e,0.0,-0.0
his-L_e,-16.11809565085622,-6.907755278982137
ile-L_e,-16.118095650882395,-6.907755279030475
k_e,-16.118095653882186,-6.907755278982137
leu-L_e,-16.118095650960335,-6.907755278982137
lys-L_e,-16.11809565090865,-6.907755278982137
na1_e,-16.11809565092303,-2.3751557858423737
nh3_e,-3.825845309187093,-3.78539035449478
o2_e,-9.01634239770303,-8.111728083308073
orn_e,-16.118095650899136,-6.907755278982611
pi_e,-2.7457520682862206,-2.7457520682862206
pro-L_e,-16.11809565094837,-6.907755278982137
ptrc_e,-16.11809565084873,-6.907755278982137
ser-L_e,-16.118095650958324,-6.90775527898214
so4_e,-4.398156016603766,-4.390058806371146
succ_e,-16.11809565096044,-3.160606916744225
thr-L_e,-16.118095651974294,-6.907755278982137
tma_e,-16.118095650900287,-6.907755278982137
tmao_e,-16.118095650962395,-6.907755278982137
val-L_e,-16.118095650901786,-6.907755278982137
xyl-D_e,-16.11809565087748,-6.907755278991088
h_c,0.0,-0.0
charge_c,0.0,-0.0
na1_c,-16.118095650958324,-6.907755278982137
h2_e,-16.118095650928637,-6.907755278982137
k_c,-16.118095650958324,-6.907755278982137
no3_c,-16.11809565091479,-6.907755278982137
biomass_c,0.0,-0.0
biomass_e,0.0,-0.0
orot_e,-16.11809565096671,-9.473345456715522
